accent,"n. 口音；重音；强调；特点；重音符号
vt. 强调；重读；带…口音讲话"
provocative,"n. 刺激物，挑拨物；兴奋剂
adj. 刺激的，挑拨的；气人的"
psychiatrist,n. 精神病学家，精神病医生
pudding,n. 布丁
purport,"n. 意义，主旨；意图
vt. 声称；意图；意指；打算"
pushy,adj. 有进取心的；爱出风头的；有冲劲的；固执己见的
quirk,n. 怪癖；急转；借口
rampant,adj. 猖獗的；蔓延的；狂暴的；奔放的
ration,"n. 定量；口粮；配给量
vt. 配给；定量供应"
rationalist,n. 理性主义者，唯理主义者
reactor,n.  反应器； 反应堆；起反应的人
readership,n. 读者人数；读者们；读者的身分
realtor,n. （美）房地产经纪人
realty,n. 房地产；不动产
receptor,n.  受体；接受器；感觉器官
recount,"n. 重算
vt. 叙述；重新计算"
recoup,"vt. 收回；恢复；偿还；扣除
vi. 获得补偿；请求扣除"
redefine,vt. 重新定义
red flag,"n. 示警红旗；（象征革命或共产主义的）红旗
 危险信号；红旗军演；红旗演习"
redistribution,n.  重新分配
regain,"n. 收复；取回
vt. 恢复；重新获得；收回
vi. 上涨"
reliability,n. 可靠性
relocate,"n. 浮动
vt. 重新安置；迁移
vi. 重新安置；迁移新址"
renege,"n. 出牌违例
vi. 食言；违例出牌
vt. 否认"
renowned,"v. 使有声誉（renown的过去分词）
adj. 著名的；有声望的"
repercussion,n. 反响；弹回；反射；浮动诊胎法；令人不满意的后果
reshape,vt. 改造；再成形
responsive,adj. 响应的；应答的；回答的
retrieval,n. 检索；恢复；取回；拯救
reuse,"n. 重新使用，再用
vt. 再使用"
revitalize,vt. 使…复活；使…复兴；使…恢复生气
rewilding, 环保骏驹
roadblock,"n. 路障；障碍物
vi. 设置路障"
roadside,"n. 路边；路旁
adj. 路边的；路旁的"
Romanticism,
roof light, 采光天窗
runoff,"n.  径流；决赛；流走的东西
adj. 决胜的"
rustle,"n. 沙沙声；急忙；飒飒声
vt. 使…沙沙作响
vi. 发出沙沙声"
saline,"n. 盐湖；碱盐泻药
adj. 盐的；含盐分的"
sandal,n. 凉鞋；檀香；檀香木；便鞋
savvy,"n. 悟性；理解能力；懂行（的人）
vt. 理解；懂
vi. 理解；知道"
scrub,"n. 矮树；洗擦；擦洗者；矮小的人（或物）
vt. 用力擦洗；使净化
vi. 擦洗；进行手臂消毒
adj. 矮小的；临时凑合的；次等的"
seasonal,adj. 季节的；周期性的；依照季节的
sensual,adj. 感觉的；肉欲的；世俗的；感觉论的
sequestration,n. 隔离；扣押；退隐
sermon,"n. 布道；训诫；启示；冗长的讲话
vt. 对…布道；对…说教
vi. 布道"
shallows," 浅滩
滩涂"
shortcut,n. 捷径；被切短的东西
shortsighted,adj. 目光短浅的；近视的
shrub,n. 灌木；灌木丛
sift,"vt. 筛选；撒；过滤；详查
vi. 筛；详查；撒下；细究"
skepticism,n. 怀疑论；怀疑的态度
scepticism,n. 怀疑；怀疑论；怀疑主义
slanted,"adj. 斜的；有倾向的
v. 使倾斜（slant的过去式和过去分词）"
sling,"n.  吊索；投石器；抛掷
vt. 用投石器投掷；吊起"
sluggish,"n. 市况呆滞；市势疲弱
adj. 萧条的；迟钝的；行动迟缓的；懒惰的"
snapshot,"n. 快照，快相；急射，速射；简单印象
vt. 给…拍快照
vi. 拍快照"
socialize,"vt. 使社会化；使社会主义化；使适应社会生活
vi. 交际；参与社交"
solitude,n. 孤独；隐居；荒僻的地方
solvable,adj. 可以解决的；可以解的；可溶的
spike,"n. 长钉，道钉；钉鞋；细高跟
vt. 阻止；以大钉钉牢；用尖物刺穿"
standardize,vt. 使标准化；用标准检验
stand-off,n. 平衡；冷淡；支座绝缘子
starkly,adv. 严酷地；明显地；毫无掩饰地
statistician,n. 统计学家，统计员
stew,"n. 炖，炖汤；烦恼；闷热；鱼塘
vt. 炖，炖汤；焖；忧虑；受闷热
vi. 炖，炖汤；焖；受闷热；忧虑"
stickiness,n. 粘性；胶粘
stockbroker,n.  股票经纪人
stockpile,"n. 库存；积蓄
vt. 贮存；储蓄
vi. 积累；储备物资"
stranglehold,n. 束缚；勒颈
strategist,n. 战略家；军事家
strikingly,adv. 显著地；突出地，引人注目地
stylist,n. 设计师；文体学家
subheading,n. 副标题
surveyor,n. 测量员；检验员
swath,n. 细长的列；收割的刈痕；收割的宽度
takeaway,"n. 外卖食品；外卖餐馆
adj. 外卖的；外吃的"
talkative,adj. 饶舌的；多话的；多嘴的；爱说话的
telling,"n. 命令；叙述；吐露真情
v. 告诉；讲述（tell的ing形式）；命令
adj. 有效的；生动的；显著的"
template,n. 模板，样板
terrain,n.  地形，地势；领域；地带
terrorism,n. 恐怖主义；恐怖行动；恐怖统治
terrorist,n. 恐怖主义者，恐怖分子
therapist,n. 临床医学家；治疗学家
thorny,adj. 多刺的；痛苦的；令人苦恼的
timing,"n. 定时；调速；时间选择
v. 为…安排时间；测定…的时间（time的ing形式）"
toddler,n. 学步的小孩；幼童装
top-tier,顶层；高层
tort,n. 侵权行为
townsfolk,n. 市民；镇民
tracker,n. 拉纤者，纤夫；追踪系统， 跟踪装置；追踪者
trainee,n. 练习生，实习生；受训者；新兵；训练中的动物
tramp,"n. 流浪者；沉重的脚步声；徒步旅行
vi. 流浪；践踏，踩；脚步沉重地行走
vt. 践踏，踩；走过"
transcendence,n. 超越；卓越；超然存在
transformative,adj. 变化的，变形的；有改革能力的
transmissible,adj. 能传送的；能透射的；可传达的
trapper,n. 设陷阱捕兽者；捕捉器； 矿井风门开关管理员
traverse,"n. 穿过；横贯；横木
vt. 穿过；反对；详细研究；在…来回移动
vi. 横越；旋转；来回移动
adj. 横贯的"
treasury,n. 国库，金库；财政部；宝库
troupe,"n. 剧团；一班；一团
vi. 巡回演出"
trustworthiness,n. 可信赖；确实性
unaligned,adj. 不结盟的
unauthorized,adj. 非法的；未被授权的；独断的
unchecked,adj. 未经核对的；未加抑制的
uncommon,"adj. 不寻常的；罕有的
adv. 非常地"
unconditional,adj. 无条件的；绝对的；无限制的
undercut,"n. 底切；牛腰部下侧嫩肉；砍口；切球
vt. 廉价出售；较便宜的工资工作；从下边削球
vi. 底切"
undesirable,"n. 不良分子；不受欢迎的人
adj. 不良的；不受欢迎的；不合需要的"
uneven,adj. 不均匀的；不平坦的； 奇数的
unfamiliar,adj. 不熟悉的；不常见的；没有经验的
unfashionable,adj. 过时的；不时髦的
unfocused,adj. 不聚成焦点的
unleash,"vt. 发动；解开…的皮带；解除…的束缚
vi. 不受约束；自由自在；放荡不羁"
unprecedented,adj. 空前的；无前例的
unpredictable,"n. 不可预言的事
adj. 不可预知的；不定的；出乎意料的"
unrealistic,adj. 不切实际的；不实在的
unrest,n. 不安；动荡的局面；不安的状态
unsupervised,adj. 无人监督的；无人管理的
unwelcome,"n. 冷淡
adj. 不受欢迎的；讨厌的；不被接受的
vt. 冷淡地对待"
unwillingness,n. 不愿意；不情愿
upend,vt. 倒放，颠倒；竖立
upheaval,n. 剧变；隆起；举起
upload,vt. 上传
upside,n. 优势，上面
upwash,"上洗(流), 上倾流, 升流, 上坡风, 上升风"
usable,adj. 可用的；合用的（等于useable）
usher,"n. 引座员，带位员；接待员；门房
vi. 作招待员；当引座员
vt. 引导，招待；迎接；开辟"
ventilation,n. 通风设备；空气流通
ware,"n. 陶器，器皿；制品；器具；货物
vt. 留心；小心"
wasteland,n. 荒地，不毛之地；未开垦地，荒漠；（精神或文化上的）贫乏
watershed,"n. （美）流域；分水岭；集水区；转折点
adj. 标志转折点的"
weakened,变弱
wearable,"n. 衣服
adj. 可穿用的，可佩带的；耐用的"
website,n. 网站（全球资讯网的主机站）
weed killer,"na. 除莠剂
 除草剂；除草者；除草剤"
wizard,"n. 男巫；术士；奇才；向导程序
adj. 男巫的；巫术的"
workaholic,"n. 专心工作的人；醉心于工作的人；为免遭辞退而工作过份卖力的人
adj. 醉心于工作的"
workload,n. 工作量
workplace,n. 工作场所；车间
wreak,vt. 发泄；报仇；造成（巨大的破坏或伤害）
